ampl.tab 3 11
project_id	load_area	technology	plant_name	eia_id	capacity_mw	heat_rate	cogen_thermal_demand_mmbtus_per_mwh	start_year	retirement_year	overnight_cost	connect_cost_per_mw	fixed_o_m	variable_o_m
5000054	CA_PGE_CEN	Hydro_NonPumped	Don_Pedro	439	136.5	0	0	1971	9999	3697120	100808	15404.652376200002	6.161860866230415
5000055	CA_PGE_CEN	Hydro_NonPumped	Don_Pedro	439	34.3	0	0	1989	9999	3697120	100808	15404.652376200002	6.161860866230415
5000056	CA_PGE_CEN	Hydro_NonPumped	Electra	239	102.5	0	0	1948	9999	3697120	100808	15404.652376200002	6.161860866230415
5000057	CA_PGE_CEN	Hydro_NonPumped	Exchequer	409	94.5	0	0	1967	9999	3697120	100808	15404.652376200002	6.161860866230415
5000058	CA_PGE_CEN	Hydro_NonPumped	Frankenheimer_Power_Plant	50219	5.3	0	0	1983	9999	3697120	100808	15404.652376200002	6.161860866230415
5000059	CA_PGE_CEN	Hydro_NonPumped	Friant_Hydro_Facility	50393	18.4	0	0	1986	9999	3697120	100808	15404.652376200002	6.161860866230415
5000060	CA_PGE_CEN	Hydro_NonPumped	Friant_Hydro_Facility	50393	12.2	0	0	1985	9999	3697120	100808	15404.652376200002	6.161860866230415
5000061	CA_PGE_CEN	Hydro_NonPumped	Haas	240	135	0	0	1958	9999	3697120	100808	15404.652376200002	6.161860866230415
5000062	CA_PGE_CEN	Hydro_Pumped	Helms_Pumped_Storage	6100	1053	0	0	1984	9999	2290160	100808	31630.886212464004	0
5000063	CA_PGE_CEN	Hydro_NonPumped	Hickman	162	1	0	0	1979	9999	3697120	100808	15404.652376200002	6.161860866230415
5000064	CA_PGE_CEN	Hydro_Pumped	J_S_Eastwood	104	199.8	0	0	1987	9999	2290160	100808	31630.886212464004	0
5000065	CA_PGE_CEN	Hydro_NonPumped	Kerckhoff	250	22.6	0	0	1920	9999	3697120	100808	15404.652376200002	6.161860866230415
5000066	CA_PGE_CEN	Hydro_NonPumped	Kerckhoff_2	682	139.5	0	0	1983	9999	3697120	100808	15404.652376200002	6.161860866230415
5000067	CA_PGE_CEN	Hydro_NonPumped	Kings_River	254	48.6	0	0	1962	9999	3697120	100808	15404.652376200002	6.161860866230415
5000068	CA_PGE_CEN	Hydro_NonPumped	La_Grange	440	4.5	0	0	1924	9999	3697120	100808	15404.652376200002	6.161860866230415
5000069	CA_PGE_CEN	Hydro_NonPumped	Mammoth_Pool	344	190	0	0	1960	9999	3697120	100808	15404.652376200002	6.161860866230415
5000070	CA_PGE_CEN	Hydro_NonPumped	McSwain	410	9	0	0	1967	9999	3697120	100808	15404.652376200002	6.161860866230415
5000071	CA_PGE_CEN	Hydro_NonPumped	Merced_Falls	258	3.4	0	0	1930	9999	3697120	100808	15404.652376200002	6.161860866230415
5000072	CA_PGE_CEN	Hydro_NonPumped	Moccasin	381	100	0	0	1969	9999	3697120	100808	15404.652376200002	6.161860866230415
5000073	CA_PGE_CEN	Hydro_NonPumped	Moccasin_Low_Head_Hydro_Project	751	2.9	0	0	1987	9999	3697120	100808	15404.652376200002	6.161860866230415
5000074	CA_PGE_CEN	Hydro_NonPumped	Murphys	261	4.5	0	0	1954	9999	3697120	100808	15404.652376200002	6.161860866230415
5000075	CA_PGE_CEN	Hydro_NonPumped	New_Hogan_Power_Plant	50755	2.8	0	0	1989	9999	3697120	100808	15404.652376200002	6.161860866230415
5000076	CA_PGE_CEN	Hydro_NonPumped	New_Melones	6158	300	0	0	1979	9999	3697120	100808	15404.652376200002	6.161860866230415
5000077	CA_PGE_CEN	Hydro_Pumped	ONeill	446	12.6	0	0	1967	9999	2290160	100808	31630.886212464004	0
5000078	CA_PGE_CEN	Hydro_Pumped	ONeill	446	12.6	0	0	1968	9999	2290160	100808	31630.886212464004	0
5000079	CA_PGE_CEN	Hydro_NonPumped	Pardee	376	8.6	0	0	1983	9999	3697120	100808	15404.652376200002	6.161860866230415
5000080	CA_PGE_CEN	Hydro_NonPumped	Pardee	376	15	0	0	1930	9999	3697120	100808	15404.652376200002	6.161860866230415
5000081	CA_PGE_CEN	Hydro_NonPumped	Parker	428	2.7	0	0	1982	9999	3697120	100808	15404.652376200002	6.161860866230415
5000082	CA_PGE_CEN	Hydro_NonPumped	Phoenix	264	1.6	0	0	1940	9999	3697120	100808	15404.652376200002	6.161860866230415
5000083	CA_PGE_CEN	Hydro_NonPumped	Pine_Flat	7907	165	0	0	1984	9999	3697120	100808	15404.652376200002	6.161860866230415
5000084	CA_PGE_CEN	Hydro_NonPumped	R_C_Kirkwood	382	36.5	0	0	1987	9999	3697120	100808	15404.652376200002	6.161860866230415
5000085	CA_PGE_CEN	Hydro_NonPumped	R_C_Kirkwood	382	79	0	0	1967	9999	3697120	100808	15404.652376200002	6.161860866230415
5000086	CA_PGE_CEN	Hydro_NonPumped	Salt_Springs	279	29.7	0	0	1953	9999	3697120	100808	15404.652376200002	6.161860866230415
5000087	CA_PGE_CEN	Hydro_NonPumped	Salt_Springs	279	12.3	0	0	1931	9999	3697120	100808	15404.652376200002	6.161860866230415
5000088	CA_PGE_CEN	Hydro_NonPumped	Sand_Bar_Power_Plant	50400	16.2	0	0	1986	9999	3697120	100808	15404.652376200002	6.161860866230415
5000089	CA_PGE_CEN	Hydro_NonPumped	San_Joaquin_2	276	2.8	0	0	1917	9999	3697120	100808	15404.652376200002	6.161860866230415
5000090	CA_PGE_CEN	Hydro_NonPumped	San_Joaquin_3	277	4	0	0	1923	9999	3697120	100808	15404.652376200002	6.161860866230415
5000091	CA_PGE_CEN	Hydro_NonPumped	Site_980_65	50322	2.1	0	0	1985	9999	3697120	100808	15404.652376200002	6.161860866230415
5000092	CA_PGE_CEN	Hydro_NonPumped	Spicer_Meadow_Project	54554	5.9	0	0	1989	9999	3697120	100808	15404.652376200002	6.161860866230415
5000093	CA_PGE_CEN	Hydro_NonPumped	Spring_Gap	284	6	0	0	1921	9999	3697120	100808	15404.652376200002	6.161860866230415
5000094	CA_PGE_CEN	Hydro_NonPumped	Stanislaus	285	81.9	0	0	1963	9999	3697120	100808	15404.652376200002	6.161860866230415
5000095	CA_PGE_CEN	Hydro_NonPumped	Tiger_Creek	287	52.2	0	0	1931	9999	3697120	100808	15404.652376200002	6.161860866230415
5000096	CA_PGE_CEN	Hydro_NonPumped	Tulloch	416	17	0	0	1958	9999	3697120	100808	15404.652376200002	6.161860866230415
5000097	CA_PGE_CEN	Hydro_NonPumped	Turlock_Lake	161	3.3	0	0	1980	9999	3697120	100808	15404.652376200002	6.161860866230415
5000098	CA_PGE_CEN	Hydro_NonPumped	Upper_Dawson	489	4.4	0	0	1983	9999	3697120	100808	15404.652376200002	6.161860866230415
5000099	CA_PGE_CEN	Hydro_NonPumped	West_Point	291	13.6	0	0	1948	9999	3697120	100808	15404.652376200002	6.161860866230415
5000100	CA_PGE_CEN	Hydro_NonPumped	Woodward_Power_Plant	50218	2.8	0	0	1982	9999	3697120	100808	15404.652376200002	6.161860866230415
5000101	CA_PGE_CEN	Hydro_Pumped	W_R_Gianelli	448	106	0	0	1968	9999	2290160	100808	31630.886212464004	0
5000102	CA_PGE_CEN	Hydro_Pumped	W_R_Gianelli	448	318	0	0	1967	9999	2290160	100808	31630.886212464004	0
5000103	CA_PGE_N	Hydro_NonPumped	Alta_Powerhouse	214	1	0	0	1902	9999	3731570	101748	15548.2025913	6.219280951485325
5000104	CA_PGE_N	Hydro_NonPumped	Bear_Creek	50156	3.2	0	0	1990	9999	3731570	101748	15548.2025913	6.219280951485325
5000105	CA_PGE_N	Hydro_NonPumped	Belden	219	117.9	0	0	1969	9999	3731570	101748	15548.2025913	6.219280951485325
5000106	CA_PGE_N	Hydro_NonPumped	Bidwell_Ditch_Project	10880	1.8	0	0	1987	9999	3731570	101748	15548.2025913	6.219280951485325
5000107	CA_PGE_N	Hydro_NonPumped	Big_Creek_Water_Works	10282	5	0	0	1987	9999	3731570	101748	15548.2025913	6.219280951485325
5000108	CA_PGE_N	Hydro_NonPumped	Black_Butte	7229	6.1	0	0	1988	9999	3731570	101748	15548.2025913	6.219280951485325
5000109	CA_PGE_N	Hydro_NonPumped	Bowman	50546	3.6	0	0	1986	9999	3731570	101748	15548.2025913	6.219280951485325
5000110	CA_PGE_N	Hydro_NonPumped	Bucks_Creek	220	66	0	0	1928	9999	3731570	101748	15548.2025913	6.219280951485325
5000111	CA_PGE_N	Hydro_NonPumped	Burney_Creek	10706	3	0	0	1990	9999	3731570	101748	15548.2025913	6.219280951485325
5000112	CA_PGE_N	Hydro_NonPumped	Butt_Valley	221	40	0	0	1958	9999	3731570	101748	15548.2025913	6.219280951485325
5000113	CA_PGE_N	Hydro_NonPumped	Camino	430	78.9	0	0	1963	9999	3731570	101748	15548.2025913	6.219280951485325
5000114	CA_PGE_N	Hydro_NonPumped	Camino	430	78.9	0	0	1968	9999	3731570	101748	15548.2025913	6.219280951485325
5000115	CA_PGE_N	Hydro_NonPumped	Camp_Far_West	531	7.2	0	0	1985	9999	3731570	101748	15548.2025913	6.219280951485325
5000116	CA_PGE_N	Hydro_NonPumped	Caribou_1	222	25	0	0	1924	9999	3731570	101748	15548.2025913	6.219280951485325
5000117	CA_PGE_N	Hydro_NonPumped	Caribou_1	222	48.8	0	0	1921	9999	3731570	101748	15548.2025913	6.219280951485325
5000118	CA_PGE_N	Hydro_NonPumped	Caribou_2	223	117.9	0	0	1958	9999	3731570	101748	15548.2025913	6.219280951485325
5000119	CA_PGE_N	Hydro_NonPumped	Chicago_Park	412	44	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000120	CA_PGE_N	Hydro_NonPumped	Chili_Bar	225	7	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000121	CA_PGE_N	Hydro_NonPumped	Coleman	227	12.1	0	0	1979	9999	3731570	101748	15548.2025913	6.219280951485325
5000122	CA_PGE_N	Hydro_NonPumped	Colgate	454	315	0	0	1969	9999	3731570	101748	15548.2025913	6.219280951485325
5000123	CA_PGE_N	Hydro_NonPumped	Combie_South	846	1.5	0	0	1984	9999	3731570	101748	15548.2025913	6.219280951485325
5000124	CA_PGE_N	Hydro_NonPumped	Cove_Hydroelectric	10707	5	0	0	1990	9999	3731570	101748	15548.2025913	6.219280951485325
5000125	CA_PGE_N	Hydro_NonPumped	Cow_Creek	229	1.4	0	0	1907	9999	3731570	101748	15548.2025913	6.219280951485325
5000126	CA_PGE_N	Hydro_NonPumped	Cresta	231	36.9	0	0	1949	9999	3731570	101748	15548.2025913	6.219280951485325
5000127	CA_PGE_N	Hydro_NonPumped	Cresta	231	36.9	0	0	1950	9999	3731570	101748	15548.2025913	6.219280951485325
5000128	CA_PGE_N	Hydro_NonPumped	Deadwood_Creek	7507	2	0	0	1993	9999	3731570	101748	15548.2025913	6.219280951485325
5000129	CA_PGE_N	Hydro_NonPumped	Deer_Creek	233	5.5	0	0	1908	9999	3731570	101748	15548.2025913	6.219280951485325
5000130	CA_PGE_N	Hydro_NonPumped	De_Sabla	232	18.4	0	0	1963	9999	3731570	101748	15548.2025913	6.219280951485325
5000131	CA_PGE_N	Hydro_NonPumped	Drum_1	235	13.2	0	0	1928	9999	3731570	101748	15548.2025913	6.219280951485325
5000132	CA_PGE_N	Hydro_NonPumped	Drum_1	235	24	0	0	1913	9999	3731570	101748	15548.2025913	6.219280951485325
5000133	CA_PGE_N	Hydro_NonPumped	Drum_1	235	12	0	0	1922	9999	3731570	101748	15548.2025913	6.219280951485325
5000134	CA_PGE_N	Hydro_NonPumped	Drum_2	236	53.1	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000135	CA_PGE_N	Hydro_NonPumped	Dutch_Flat	237	22	0	0	1943	9999	3731570	101748	15548.2025913	6.219280951485325
5000136	CA_PGE_N	Hydro_NonPumped	Dutch_Flat_2	413	27.3	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000137	CA_PGE_N	Hydro_NonPumped	Edward_C_Hyatt	437	351	0	0	1968	9999	3731570	101748	15548.2025913	6.219280951485325
5000138	CA_PGE_N	Hydro_NonPumped	El_Dorado	238	20	0	0	1924	9999	3731570	101748	15548.2025913	6.219280951485325
5000139	CA_PGE_N	Hydro_NonPumped	Forbestown	417	41.9	0	0	1963	9999	3731570	101748	15548.2025913	6.219280951485325
5000140	CA_PGE_N	Hydro_NonPumped	Forks_of_Butte_Hydro_Project	50350	14.5	0	0	1992	9999	3731570	101748	15548.2025913	6.219280951485325
5000141	CA_PGE_N	Hydro_NonPumped	French_Meadows	424	15.3	0	0	1966	9999	3731570	101748	15548.2025913	6.219280951485325
5000142	CA_PGE_N	Hydro_NonPumped	Gosselin_Hydro_Plant	10128	2	0	0	1983	9999	3731570	101748	15548.2025913	6.219280951485325
5000143	CA_PGE_N	Hydro_NonPumped	Grizzly	7338	22	0	0	1993	9999	3731570	101748	15548.2025913	6.219280951485325
5000144	CA_PGE_N	Hydro_NonPumped	Halsey	241	13.6	0	0	1916	9999	3731570	101748	15548.2025913	6.219280951485325
5000145	CA_PGE_N	Hydro_NonPumped	Hamilton_Branch	242	5.3	0	0	1921	9999	3731570	101748	15548.2025913	6.219280951485325
5000146	CA_PGE_N	Hydro_NonPumped	Hatchet_Creek_Project	10882	6.8	0	0	1986	9999	3731570	101748	15548.2025913	6.219280951485325
5000147	CA_PGE_N	Hydro_NonPumped	Hat_Creek_1	243	10	0	0	1921	9999	3731570	101748	15548.2025913	6.219280951485325
5000148	CA_PGE_N	Hydro_NonPumped	Hat_Creek_2	244	10	0	0	1921	9999	3731570	101748	15548.2025913	6.219280951485325
5000149	CA_PGE_N	Hydro_NonPumped	Haypress	10253	5	0	0	1988	9999	3731570	101748	15548.2025913	6.219280951485325
5000150	CA_PGE_N	Hydro_NonPumped	Haypress	10253	5	0	0	1989	9999	3731570	101748	15548.2025913	6.219280951485325
5000151	CA_PGE_N	Hydro_NonPumped	Indian_Valley_Dam_Hydro_Project	50129	3.7	0	0	1983	9999	3731570	101748	15548.2025913	6.219280951485325
5000152	CA_PGE_N	Hydro_NonPumped	Inskip	248	7.6	0	0	1979	9999	3731570	101748	15548.2025913	6.219280951485325
5000153	CA_PGE_N	Hydro_NonPumped	James_B_Black	249	83.5	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000154	CA_PGE_N	Hydro_NonPumped	James_B_Black	249	85.1	0	0	1966	9999	3731570	101748	15548.2025913	6.219280951485325
5000155	CA_PGE_N	Hydro_NonPumped	Jaybird	431	80.8	0	0	1962	9999	3731570	101748	15548.2025913	6.219280951485325
5000156	CA_PGE_N	Hydro_NonPumped	Jaybird	431	80.8	0	0	1961	9999	3731570	101748	15548.2025913	6.219280951485325
5000157	CA_PGE_N	Hydro_NonPumped	Jones_Fork	534	10	0	0	1985	9999	3731570	101748	15548.2025913	6.219280951485325
5000158	CA_PGE_N	Hydro_NonPumped	Judge_F_Carr	442	154.4	0	0	1963	9999	3731570	101748	15548.2025913	6.219280951485325
5000159	CA_PGE_N	Hydro_NonPumped	Kanaka	54653	1.1	0	0	1988	9999	3731570	101748	15548.2025913	6.219280951485325
5000160	CA_PGE_N	Hydro_NonPumped	Kekawaka_Power_House	54654	4.9	0	0	1989	9999	3731570	101748	15548.2025913	6.219280951485325
5000161	CA_PGE_N	Hydro_NonPumped	Kelly_Ridge	418	10	0	0	1963	9999	3731570	101748	15548.2025913	6.219280951485325
5000162	CA_PGE_N	Hydro_NonPumped	Keswick	443	39	0	0	1950	9999	3731570	101748	15548.2025913	6.219280951485325
5000163	CA_PGE_N	Hydro_NonPumped	Keswick	443	78	0	0	1949	9999	3731570	101748	15548.2025913	6.219280951485325
5000164	CA_PGE_N	Hydro_NonPumped	Kilarc	253	3	0	0	1904	9999	3731570	101748	15548.2025913	6.219280951485325
5000165	CA_PGE_N	Hydro_NonPumped	Lake_Mendocino	7489	3.5	0	0	1987	9999	3731570	101748	15548.2025913	6.219280951485325
5000166	CA_PGE_N	Hydro_NonPumped	Lime_Saddle	255	2	0	0	1906	9999	3731570	101748	15548.2025913	6.219280951485325
5000167	CA_PGE_N	Hydro_NonPumped	Loon_Lake	432	74.1	0	0	1971	9999	3731570	101748	15548.2025913	6.219280951485325
5000168	CA_PGE_N	Hydro_NonPumped	Middle_Fork	425	116.1	0	0	1966	9999	3731570	101748	15548.2025913	6.219280951485325
5000169	CA_PGE_N	Hydro_NonPumped	Montgomery_Creek_Hydro	55009	2.6	0	0	1987	9999	3731570	101748	15548.2025913	6.219280951485325
5000170	CA_PGE_N	Hydro_NonPumped	Monticello	7646	11.5	0	0	1983	9999	3731570	101748	15548.2025913	6.219280951485325
5000171	CA_PGE_N	Hydro_NonPumped	Muck_Valley_Hydroelectric	10458	29.9	0	0	1988	9999	3731570	101748	15548.2025913	6.219280951485325
5000172	CA_PGE_N	Hydro_NonPumped	Narrows	262	10.2	0	0	1942	9999	3731570	101748	15548.2025913	6.219280951485325
5000173	CA_PGE_N	Hydro_NonPumped	Narrows_2	455	46.7	0	0	1969	9999	3731570	101748	15548.2025913	6.219280951485325
5000174	CA_PGE_N	Hydro_NonPumped	Nelson_Creek	50223	1.2	0	0	1989	9999	3731570	101748	15548.2025913	6.219280951485325
5000175	CA_PGE_N	Hydro_NonPumped	Newcastle	632	12.7	0	0	1986	9999	3731570	101748	15548.2025913	6.219280951485325
5000176	CA_PGE_N	Hydro_NonPumped	Oak_Flat	626	1.4	0	0	1985	9999	3731570	101748	15548.2025913	6.219280951485325
5000177	CA_PGE_N	Hydro_NonPumped	Olsen	50180	5	0	0	1990	9999	3731570	101748	15548.2025913	6.219280951485325
5000178	CA_PGE_N	Hydro_NonPumped	Oxbow	426	6.1	0	0	1966	9999	3731570	101748	15548.2025913	6.219280951485325
5000179	CA_PGE_N	Hydro_NonPumped	Pit_1	265	69.2	0	0	1922	9999	3731570	101748	15548.2025913	6.219280951485325
5000180	CA_PGE_N	Hydro_NonPumped	Pit_3	266	80.1	0	0	1925	9999	3731570	101748	15548.2025913	6.219280951485325
5000181	CA_PGE_N	Hydro_NonPumped	Pit_4	267	103.4	0	0	1955	9999	3731570	101748	15548.2025913	6.219280951485325
5000182	CA_PGE_N	Hydro_NonPumped	Pit_5	268	141.6	0	0	1944	9999	3731570	101748	15548.2025913	6.219280951485325
5000183	CA_PGE_N	Hydro_NonPumped	Pit_6	269	79.2	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000184	CA_PGE_N	Hydro_NonPumped	Pit_7	270	109.8	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000185	CA_PGE_N	Hydro_NonPumped	Poe	272	142.8	0	0	1958	9999	3731570	101748	15548.2025913	6.219280951485325
5000186	CA_PGE_N	Hydro_NonPumped	Ponderosa_Bailey_Creek	10709	1.1	0	0	1990	9999	3731570	101748	15548.2025913	6.219280951485325
5000187	CA_PGE_N	Hydro_NonPumped	Potter_Valley	274	2	0	0	1910	9999	3731570	101748	15548.2025913	6.219280951485325
5000188	CA_PGE_N	Hydro_NonPumped	Potter_Valley	274	4.4	0	0	1939	9999	3731570	101748	15548.2025913	6.219280951485325
5000189	CA_PGE_N	Hydro_NonPumped	Potter_Valley	274	3	0	0	1917	9999	3731570	101748	15548.2025913	6.219280951485325
5000190	CA_PGE_N	Hydro_NonPumped	Ralston	427	79.2	0	0	1966	9999	3731570	101748	15548.2025913	6.219280951485325
5000191	CA_PGE_N	Hydro_NonPumped	Roaring_Creek_Water_Power	10881	2	0	0	1986	9999	3731570	101748	15548.2025913	6.219280951485325
5000192	CA_PGE_N	Hydro_NonPumped	Robbs_Peak	433	25.5	0	0	1965	9999	3731570	101748	15548.2025913	6.219280951485325
5000193	CA_PGE_N	Hydro_NonPumped	Rock_Creek	275	124.6	0	0	1950	9999	3731570	101748	15548.2025913	6.219280951485325
5000194	CA_PGE_N	Hydro_NonPumped	Rock_Creek_LP	50892	3	0	0	1986	9999	3731570	101748	15548.2025913	6.219280951485325
